Year,Month,ONI
2014,1,-0.42
2014,2,-0.46
2014,3,-0.27
2014,4,0.04
2014,5,0.21
2014,6,0.16
2014,7,0.05
2014,8,0.07
2014,9,0.23
2014,10,0.49
2014,11,0.64
2014,12,0.66
2015,1,0.55
2015,2,0.47
2015,3,0.53
2015,4,0.7
2015,5,0.93
2015,6,1.18
2015,7,1.52
2015,8,1.86
2015,9,2.16
2015,10,2.42
2015,11,2.57
2015,12,2.64
2016,1,2.48
2016,2,2.14
2016,3,1.58
2016,4,0.94
2016,5,0.39
2016,6,-0.07
2016,7,-0.36
2016,8,-0.54
2016,9,-0.63
2016,10,-0.69
2016,11,-0.67
2016,12,-0.56
2017,1,-0.34
2017,2,-0.16
2017,3,0.05
2017,4,0.2
2017,5,0.3
2017,6,0.31
2017,7,0.14
2017,8,-0.11
2017,9,-0.38
2017,10,-0.65
2017,11,-0.84
2017,12,-0.97
2018,1,-0.92
2018,2,-0.85
2018,3,-0.7
2018,4,-0.5
2018,5,-0.22
2018,6,-0.01
2018,7,0.09
2018,8,0.23
2018,9,0.49
2018,10,0.76
2018,11,0.9
2018,12,0.81
2019,1,0.75
2019,2,0.72
2019,3,0.71
2019,4,0.66
2019,5,0.54
2019,6,0.45
2019,7,0.28
2019,8,0.14
2019,9,0.19
2019,10,0.35
2019,11,0.51
2019,12,0.55
2020,1,0.5
2020,2,0.48
2020,3,0.4
2020,4,0.19
2020,5,-0.08
2020,6,-0.3
2020,7,-0.41
2020,8,-0.57
2020,9,-0.89
2020,10,-1.17
2020,11,-1.27
2020,12,-1.19
2021,1,-1.05
2021,2,-0.93
2021,3,-0.84
2021,4,-0.66
2021,5,-0.48
2021,6,-0.38
2021,7,-0.4
2021,8,-0.49
2021,9,-0.67
2021,10,-0.81
2021,11,-0.98
2021,12,-0.98
